Year,Quarter,Facility ID,Facility Name,City,State,ZIP Code,County Name,Condition,Measure ID,Measure Name,Score,Sample,County,Common State County FIPS Code,Latitude,Longitude,County HPSA Status,Designation Type,HPSA Score,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,HPSA Provider Ratio Goal,HPSA Shortage
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Emergency Department,ED_2b,Median Admit Decision Time to ED Departure Time As Inpatient,74.0,545,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Emergency Department,OP_18b,Median Time Spent in ED Before Leaving,201.0,372,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Emergency Department,OP_20,Median Time Spent in ED Before Seen by Health Professional,66.0,374,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Emergency Department,OP_21,Median Time to Pain Medicine,86.0,118,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Emergency Department,OP_22,% of Patients Left Before Being Seen,5.0,58189,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Emergency Department,ED_2b,Median Admit Decision Time to ED Departure Time As Inpatient,71.0,1070,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Emergency Department,OP_18b,Median Time Spent in ED Before Leaving,113.0,1405,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Emergency Department,OP_20,Median Time Spent in ED Before Seen by Health Professional,25.0,1406,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Emergency Department,OP_21,Median Time to Pain Medicine,59.0,301,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Emergency Department,OP_22,% of Patients Left Before Being Seen,2.0,70529,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
